[     0.0s] === 20260616_044045_siglip512_loto_recap ===
[     0.0s] config: {"name": "siglip512_loto_recap", "backbone": "vit_so400m_patch16_siglip_512.v2_webli", "img_size": 0, "rank": 16, "alpha": 32, "attn_only": false, "epochs": 3, "batch": 8, "accum": 2, "lr": 0.0002, "weight_decay": 0.01, "warmup_steps": 1000, "ema_decay": 0.9995, "seed": 42, "subset": 0, "skip_infer": true, "recapture_p": 0.5, "rc_min": 0.2, "rc_max": 0.6, "loto_types": "MAURITIUS/ID,GUINEA/DL", "num_workers": 2, "out": "subs/siglip512_dora.csv"}
[     6.4s] backbone=vit_so400m_patch16_siglip_512.v2_webli img=512 mean=(0.5, 0.5, 0.5) | DoRA layers=108 | trainable=7.98M
[     6.4s] recapture aug ON: p=0.5 strength U[0.2,0.6]
[     9.4s] type-LOO: held-out types = MAURITIUS/ID,GUINEA/DL
[     9.4s] train types = ['BENIN/DL', 'EGYPT/DL', 'MOZAMBIQUE/DL']
[     9.4s] train=42597 | canary val=2420 (digital 2400 + recaptured 20)
[   152.6s]   e0 step 50/7986 loss=0.6194 lr=1.00e-05
[   285.3s]   e0 step 100/7986 loss=0.6190 lr=2.00e-05
[   417.9s]   e0 step 150/7986 loss=0.6154 lr=3.00e-05
[   550.8s]   e0 step 200/7986 loss=0.6087 lr=4.00e-05
[   684.6s]   e0 step 250/7986 loss=0.5944 lr=5.00e-05
[   821.0s]   e0 step 300/7986 loss=0.5526 lr=6.00e-05
[   955.9s]   e0 step 350/7986 loss=0.5035 lr=7.00e-05
[  1090.6s]   e0 step 400/7986 loss=0.4629 lr=8.00e-05
[  1223.7s]   e0 step 450/7986 loss=0.4281 lr=9.00e-05
[  1360.6s]   e0 step 500/7986 loss=0.4002 lr=1.00e-04
[  1497.9s]   e0 step 550/7986 loss=0.3790 lr=1.10e-04
[  1635.8s]   e0 step 600/7986 loss=0.3588 lr=1.20e-04
[  1768.5s]   e0 step 650/7986 loss=0.3389 lr=1.30e-04
[  1904.5s]   e0 step 700/7986 loss=0.3228 lr=1.40e-04
[  2038.1s]   e0 step 750/7986 loss=0.3107 lr=1.50e-04
[  2172.0s]   e0 step 800/7986 loss=0.2964 lr=1.60e-04
[  2304.4s]   e0 step 850/7986 loss=0.2859 lr=1.70e-04
[  2441.1s]   e0 step 900/7986 loss=0.2769 lr=1.80e-04
[  2576.4s]   e0 step 950/7986 loss=0.2677 lr=1.90e-04
[  2711.9s]   e0 step 1000/7986 loss=0.2605 lr=2.00e-04
[  2848.2s]   e0 step 1050/7986 loss=0.2534 lr=2.00e-04
[  2984.8s]   e0 step 1100/7986 loss=0.2492 lr=2.00e-04
[  3118.6s]   e0 step 1150/7986 loss=0.2448 lr=2.00e-04
[  3252.2s]   e0 step 1200/7986 loss=0.2402 lr=2.00e-04
[  3385.1s]   e0 step 1250/7986 loss=0.2356 lr=1.99e-04
[  3521.4s]   e0 step 1300/7986 loss=0.2302 lr=1.99e-04
[  3656.0s]   e0 step 1350/7986 loss=0.2260 lr=1.99e-04
[  3788.1s]   e0 step 1400/7986 loss=0.2215 lr=1.98e-04
[  3921.3s]   e0 step 1450/7986 loss=0.2173 lr=1.98e-04
[  4056.7s]   e0 step 1500/7986 loss=0.2148 lr=1.97e-04
[  4190.3s]   e0 step 1550/7986 loss=0.2107 lr=1.97e-04
[  4325.4s]   e0 step 1600/7986 loss=0.2063 lr=1.96e-04
[  4460.5s]   e0 step 1650/7986 loss=0.2024 lr=1.96e-04
[  4595.6s]   e0 step 1700/7986 loss=0.1989 lr=1.95e-04
[  4730.8s]   e0 step 1750/7986 loss=0.1959 lr=1.94e-04
[  4864.0s]   e0 step 1800/7986 loss=0.1922 lr=1.94e-04
[  4996.6s]   e0 step 1850/7986 loss=0.1896 lr=1.93e-04
[  5128.3s]   e0 step 1900/7986 loss=0.1867 lr=1.92e-04
[  5259.9s]   e0 step 1950/7986 loss=0.1838 lr=1.91e-04
[  5391.7s]   e0 step 2000/7986 loss=0.1818 lr=1.90e-04
[  5523.4s]   e0 step 2050/7986 loss=0.1794 lr=1.89e-04
[  5655.0s]   e0 step 2100/7986 loss=0.1768 lr=1.88e-04
[  5786.8s]   e0 step 2150/7986 loss=0.1745 lr=1.87e-04
[  5918.5s]   e0 step 2200/7986 loss=0.1715 lr=1.86e-04
[  6050.2s]   e0 step 2250/7986 loss=0.1683 lr=1.85e-04
