train=68985 canary=347 img=512
  e0 200/17244 loss=0.4903
  e0 400/17244 loss=0.2281
  e0 600/17244 loss=0.4028
  e0 800/17244 loss=0.2185
  e0 1000/17244 loss=0.2889
  e0 1200/17244 loss=0.0668
  e0 1400/17244 loss=0.1167
  e0 1600/17244 loss=0.1057
  e0 1800/17244 loss=0.2768
  e0 2000/17244 loss=0.0374
  e0 2200/17244 loss=0.0001
  e0 2400/17244 loss=0.0002
  e0 2600/17244 loss=0.0001
  e0 2800/17244 loss=0.0001
  e0 3000/17244 loss=0.0001
  e0 3200/17244 loss=0.0002
  e0 3400/17244 loss=0.0000
  e0 3600/17244 loss=0.0001
  e0 3800/17244 loss=0.0001
  e0 4000/17244 loss=0.0002
  e0 4200/17244 loss=0.0001
epoch 1 canary_freuid=0.0950 auc=0.9671
  e1 4400/17244 loss=0.0000
  e1 4600/17244 loss=0.0002
  e1 4800/17244 loss=0.0009
  e1 5000/17244 loss=0.0011
  e1 5200/17244 loss=0.0006
  e1 5400/17244 loss=0.0001
  e1 5600/17244 loss=0.0001
  e1 5800/17244 loss=0.0000
  e1 6000/17244 loss=0.0000
  e1 6200/17244 loss=0.0001
  e1 6400/17244 loss=0.0000
  e1 6600/17244 loss=0.0000
  e1 6800/17244 loss=0.0000
  e1 7000/17244 loss=0.0000
  e1 7200/17244 loss=0.0000
  e1 7400/17244 loss=0.0000
  e1 7600/17244 loss=0.0000
  e1 7800/17244 loss=0.0001
  e1 8000/17244 loss=0.0001
  e1 8200/17244 loss=0.0000
  e1 8400/17244 loss=0.0000
  e1 8600/17244 loss=0.0000
epoch 2 canary_freuid=0.0000 auc=1.0000
  e2 8800/17244 loss=0.0003
  e2 9000/17244 loss=0.0000
  e2 9200/17244 loss=0.0000
  e2 9400/17244 loss=0.0000
  e2 9600/17244 loss=0.0000
  e2 9800/17244 loss=0.0001
  e2 10000/17244 loss=0.0000
  e2 10200/17244 loss=0.0000
  e2 10400/17244 loss=0.0000
  e2 10600/17244 loss=0.0000
  e2 10800/17244 loss=0.0000
  e2 11000/17244 loss=0.0000
  e2 11200/17244 loss=0.0000
  e2 11400/17244 loss=0.0000
  e2 11600/17244 loss=0.0000
  e2 11800/17244 loss=0.0000
  e2 12000/17244 loss=0.0000
  e2 12200/17244 loss=0.0000
  e2 12400/17244 loss=0.0000
  e2 12600/17244 loss=0.0000
  e2 12800/17244 loss=0.0000
epoch 3 canary_freuid=0.0000 auc=1.0000
  e3 13000/17244 loss=0.0000
  e3 13200/17244 loss=0.0000
  e3 13400/17244 loss=0.0000
  e3 13600/17244 loss=0.0000
  e3 13800/17244 loss=0.0000
  e3 14000/17244 loss=0.0000
  e3 14200/17244 loss=0.0000
  e3 14400/17244 loss=0.0000
  e3 14600/17244 loss=0.0000
  e3 14800/17244 loss=0.0000
  e3 15000/17244 loss=0.0000
  e3 15200/17244 loss=0.0000
  e3 15400/17244 loss=0.0000
  e3 15600/17244 loss=0.0000
  e3 15800/17244 loss=0.0000
  e3 16000/17244 loss=0.0000
  e3 16200/17244 loss=0.0000
  e3 16400/17244 loss=0.0000
  e3 16600/17244 loss=0.0000
  e3 16800/17244 loss=0.0000
  e3 17000/17244 loss=0.0000
  e3 17200/17244 loss=0.0000
epoch 4 canary_freuid=0.0000 auc=1.0000
wrote subs/forensic.csv | DONE 139min
